step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
226,0.46842,0.84872,,
227,0.36119,0.86933,,
228,0.63126,0.79744,,
229,0.29311,0.91133,,
230,0.52917,0.82588,,
231,0.59375,0.82057,,
232,0.61488,0.82639,,
233,0.48605,0.81967,,
234,0.39904,0.8835,,
235,0.47228,0.8337,,
236,0.56829,0.82043,,
237,0.64579,0.81299,,
238,0.44698,0.84286,,
239,0.47886,0.83962,,
240,0.47318,0.83362,,
241,0.55942,0.8427,,
242,0.51546,0.84182,,
243,0.48809,0.82958,,
244,0.48903,0.83694,,
245,0.51682,0.83185,,
246,0.39163,0.86682,,
247,0.43506,0.86695,,
248,0.70533,0.80519,,
249,0.46002,0.84751,,
250,0.45023,0.8413,,
251,0.69495,0.80495,,
252,0.65201,0.82331,,
253,0.42424,0.86833,,
254,0.42565,0.8733,,
255,0.40999,0.87421,,
256,0.90209,0.73423,,
257,0.47402,0.83191,,
258,0.4809,0.85417,,
259,0.47614,0.82625,,
260,0.4731,0.82393,,
261,0.43837,0.85656,,
262,0.46706,0.84724,,
263,0.46378,0.85313,,
264,0.60495,0.81154,,
265,0.44723,0.86032,,
266,0.59303,0.81227,,
267,0.6033,0.79896,,
268,0.59559,0.80916,,
269,0.55963,0.8125,,
270,0.34012,0.89977,,
271,0.54944,0.83613,,
272,0.5344,0.85497,,
273,0.82159,0.76068,,
274,0.55085,0.81952,,
275,0.49546,0.82196,,
276,0.43127,0.84305,,
277,0.41564,0.87936,,
278,0.5281,0.84526,,
279,0.48643,0.84314,,
280,0.40776,0.84938,,
281,0.47911,0.85654,,
282,0.73152,0.79198,,
283,0.40733,0.86609,,
284,0.31649,0.91803,,
285,0.40599,0.88352,,
286,0.39461,0.89157,,
287,0.45271,0.86712,,
288,0.5692,0.81412,,
289,0.47501,0.84165,,
290,0.32044,0.88715,,
291,0.57786,0.83158,,
292,0.64281,0.81176,,
293,0.58439,0.79695,,
294,0.35704,0.89316,,
295,0.42624,0.86534,,
296,0.37956,0.88522,,
297,0.65358,0.81378,,
298,0.38142,0.87745,,
299,0.6767,0.7931,,
300,0.47124,0.84069,0.70868,0.80039
301,0.47923,0.84749,,
302,0.58353,0.80537,,
303,0.47947,0.85278,,
304,0.48115,0.84455,,
305,0.35269,0.88889,,
306,0.52214,0.81553,,
307,0.43948,0.83887,,
308,0.54069,0.8104,,
309,0.49186,0.8422,,
310,0.27889,0.90099,,
311,0.50053,0.83966,,
312,0.43419,0.86036,,
313,0.70759,0.76752,,
314,0.55758,0.82402,,
315,0.32309,0.90749,,
316,0.6515,0.80952,,
317,0.39127,0.8764,,
318,0.38917,0.87441,,
319,0.55411,0.82353,,
320,0.36921,0.88671,,
321,0.38993,0.87571,,
322,0.72253,0.79508,,
323,0.51969,0.83636,,
324,0.52804,0.82888,,
325,0.33789,0.88235,,
326,0.49632,0.83416,,
327,0.45171,0.84821,,
328,0.44213,0.81818,,
329,0.47809,0.83981,,
330,0.53717,0.82587,,
331,0.80228,0.72956,,
332,0.54029,0.826,,
333,0.58527,0.82398,,
334,0.40574,0.85873,,
335,0.28564,0.90094,,
336,0.32009,0.89749,,
337,0.52723,0.81266,,
338,0.36182,0.87075,,
339,0.59951,0.83678,,
340,0.43065,0.88085,,
341,0.49775,0.84149,,
342,0.53241,0.84367,,
343,0.5926,0.81305,,
344,0.50719,0.83481,,
345,0.52561,0.8429,,
346,0.43271,0.86957,,
347,0.48104,0.83705,,
348,0.48824,0.83603,,
349,0.47788,0.84444,,
350,0.76427,0.7566,,
351,0.51308,0.84507,,
352,0.48546,0.85371,,
353,0.89339,0.76179,,
354,0.40308,0.87352,,
355,0.38129,0.87755,,
356,0.46559,0.81982,,
357,0.42117,0.87417,,
358,0.45083,0.86308,,
359,0.28109,0.91864,,
360,0.49777,0.81062,,
361,0.77501,0.79822,,
362,0.63837,0.81227,,
363,0.39716,0.87166,,
364,0.3756,0.89213,,
365,0.70558,0.7672,,
366,0.53739,0.84108,,
367,0.51251,0.82029,,
368,0.37239,0.87138,,
369,0.35781,0.88176,,
370,0.37027,0.87854,,
371,0.49707,0.84859,,
372,0.36107,0.89614,,
373,0.55733,0.84305,,
374,0.56249,0.84557,,
375,0.59472,0.83552,,
376,0.40608,0.85294,,
377,0.47791,0.85343,,
378,0.55194,0.81306,,
379,0.52218,0.82116,,
380,0.47311,0.83281,,
381,0.46674,0.84015,,
382,0.42908,0.84874,,
383,0.62655,0.825,,
384,0.41266,0.86517,,
385,0.47953,0.86,,
386,0.42786,0.85847,,
387,0.51806,0.81546,,
388,0.28605,0.90998,,
389,0.40983,0.87273,,
390,0.40646,0.86301,,
391,0.44319,0.85634,,
392,0.41838,0.8458,,
393,0.44692,0.84564,,
394,0.77264,0.77444,,
395,0.49201,0.85075,,
396,0.35586,0.88889,,
397,0.53115,0.83128,,
398,0.40277,0.8514,,
399,0.49853,0.83971,,
400,0.42927,0.86463,0.79767,0.78085
401,0.47537,0.85524,,
402,0.38831,0.86159,,
403,0.43114,0.82703,,
404,0.34354,0.8833,,
405,0.31401,0.8951,,
406,0.26259,0.89831,,
407,0.36149,0.86957,,
408,0.48135,0.83721,,
409,0.46378,0.84262,,
410,0.37698,0.86457,,
411,0.32319,0.90361,,
412,0.40162,0.85308,,
413,0.35472,0.88361,,
414,0.30614,0.89415,,
415,0.36365,0.88848,,
416,0.29995,0.89464,,
417,0.433,0.8439,,
418,0.32875,0.88773,,
419,0.36848,0.893,,
420,0.29807,0.92647,,
421,0.2936,0.9125,,
422,0.42869,0.87952,,
423,0.43917,0.84459,,
424,0.70783,0.81221,,
425,0.35502,0.88971,,
426,0.42949,0.88136,,
427,0.50539,0.81026,,
428,0.65354,0.82402,,
429,0.41737,0.86392,,
430,0.39815,0.86708,,
431,0.45489,0.85517,,
432,0.36037,0.88764,,
433,0.30327,0.89068,,
434,0.22525,0.91283,,
435,0.60724,0.83224,,
436,0.41586,0.85816,,
437,0.41857,0.85,,
438,0.65494,0.79554,,
439,0.28538,0.92308,,
440,0.50068,0.84685,,
441,0.38497,0.86667,,
442,0.47073,0.8565,,
443,0.40431,0.86622,,
444,0.38982,0.86698,,
445,0.35095,0.87841,,
446,0.36797,0.88055,,
447,0.32397,0.89048,,
448,0.59868,0.79668,,
449,0.60358,0.81818,,
450,0.43599,0.8537,,
451,0.40521,0.85859,,
452,0.39113,0.86996,,
453,0.36073,0.86185,,
454,0.30021,0.89834,,
455,0.53907,0.82785,,
456,0.40559,0.85911,,
457,0.39005,0.89451,,
458,0.28336,0.91358,,
459,0.37435,0.8835,,
460,0.35297,0.88048,,
461,0.49577,0.82872,,
462,0.40009,0.875,,
463,0.32848,0.88889,,
464,0.33523,0.89414,,
465,0.38681,0.86212,,
466,0.39628,0.87059,,
467,0.38485,0.86777,,
468,0.24348,0.92537,,
469,0.30201,0.88752,,
470,0.43441,0.85872,,
471,0.54668,0.81328,,
472,0.39005,0.87097,,
473,0.38691,0.86765,,
474,0.45028,0.84875,,
475,0.42069,0.85153,,
476,0.48209,0.83607,,
477,0.3692,0.89183,,
478,0.28427,0.90964,,
479,0.32444,0.87759,,
480,0.39954,0.85853,,
481,0.27689,0.89892,,
482,0.31494,0.88646,,
483,0.28242,0.88496,,
484,0.33832,0.87154,,
485,0.31909,0.88444,,
486,0.45113,0.84013,,
487,0.39717,0.86944,,
488,0.34161,0.87037,,
489,0.45209,0.8546,,
490,0.38872,0.86538,,
491,0.52277,0.82664,,
492,0.33795,0.88991,,
493,0.28309,0.89876,,
494,0.33911,0.87456,,
495,0.56585,0.82948,,
496,0.5008,0.84199,,
497,0.27451,0.89862,,
498,0.3347,0.89024,,
499,0.46562,0.85129,,
500,0.43654,0.85463,0.81092,0.77043
501,0.4192,0.86697,,
502,0.69588,0.79752,,
503,0.47403,0.82701,,
504,0.292,0.8931,,
505,0.346,0.88506,,
506,0.44556,0.86051,,
507,0.27887,0.89862,,
508,0.44587,0.85909,,
509,0.48084,0.81951,,
510,0.37677,0.86587,,
511,0.41088,0.86842,,
512,0.31471,0.89375,,
513,0.4041,0.87349,,
514,0.33322,0.87397,,
515,0.3914,0.86486,,
516,0.68282,0.79426,,
517,0.42149,0.84646,,
518,0.5627,0.84356,,
519,0.32674,0.87728,,
520,0.45384,0.84683,,
521,0.5189,0.82183,,
522,0.29327,0.89488,,
523,0.34045,0.88377,,
524,0.40012,0.8641,,
525,0.4555,0.85135,,
526,0.4072,0.86441,,
527,0.35625,0.88081,,
528,0.21963,0.92642,,
529,0.49657,0.83656,,
530,0.52172,0.81118,,
531,0.45082,0.85113,,
532,0.44236,0.85396,,
533,0.3319,0.89331,,
534,0.4111,0.86192,,
535,0.33284,0.86574,,
536,0.72001,0.77949,,
537,0.40236,0.87637,,
538,0.27735,0.91176,,
539,0.34093,0.8802,,
540,0.27436,0.92077,,
541,0.34386,0.89143,,
